status,now_L,now_R,X0,X1,X2,X3,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,230,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,229,244
straight,0,0,129,377,295,364,-1,641,-1,641,-1,409,231,244
straight,0,0,129,377,229,363,-1,641,-1,641,-1,409,231,244
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,232,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,232,245
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,229,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,127,377,229,364,-1,641,-1,641,-1,412,230,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,230,481
straight,0,0,155,377,229,363,-1,641,-1,641,-1,410,230,481
straight,0,0,155,377,298,364,-1,641,-1,641,-1,408,230,481
straight,0,0,155,377,229,364,-1,641,-1,641,-1,408,230,253
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,230,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,230,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,230,481
straight,0,0,155,377,229,364,-1,641,-1,641,-1,408,229,253
straight,0,0,126,377,298,364,-1,641,-1,641,-1,410,230,481
straight,0,0,127,377,229,364,-1,641,-1,641,-1,411,230,481
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,229,252
straight,0,0,155,377,229,364,-1,641,-1,641,-1,408,229,253
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,407,230,253
straight,0,0,126,377,305,364,-1,641,-1,641,-1,408,229,481
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,230,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,253
straight,0,0,128,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,229,252
straight,0,0,128,377,229,364,-1,641,-1,641,-1,406,230,254
straight,0,0,129,377,229,364,-1,641,-1,641,-1,407,230,252
straight,0,0,129,377,305,364,-1,641,-1,641,-1,407,229,253
straight,0,0,130,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,130,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,130,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,130,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,131,355,229,364,-1,641,-1,641,-1,410,229,252
straight,0,0,130,377,229,364,-1,641,-1,641,-1,408,230,253
straight,0,0,130,377,305,364,-1,641,-1,641,-1,408,229,481
straight,0,0,131,377,229,364,-1,641,-1,641,-1,408,230,252
straight,0,0,131,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,131,377,305,364,-1,641,-1,641,-1,408,229,252
straight,0,0,132,377,229,390,-1,641,-1,641,-1,409,229,254
straight,0,0,132,377,229,364,-1,641,-1,641,-1,408,230,253
straight,0,0,132,377,229,364,-1,641,-1,641,-1,408,231,481
straight,0,0,132,377,229,390,-1,641,-1,641,-1,409,230,481
straight,0,0,132,377,229,364,-1,641,-1,641,-1,408,230,254
straight,0,0,132,377,229,364,-1,641,-1,641,-1,407,230,481
straight,0,0,132,377,229,390,-1,641,-1,641,-1,408,230,481
straight,0,0,133,377,229,364,-1,641,-1,641,-1,408,231,253
straight,0,0,133,377,229,364,-1,641,-1,641,-1,407,230,481
straight,0,0,133,377,229,364,-1,641,-1,641,-1,408,230,481
straight,0,0,133,377,229,364,-1,641,-1,641,-1,409,230,481
straight,0,0,132,377,229,364,-1,641,-1,641,-1,407,230,252
straight,0,0,132,355,229,364,-1,641,-1,641,-1,410,230,481
straight,0,0,131,377,229,364,-1,641,-1,641,-1,407,231,481
straight,0,0,131,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,130,377,305,364,-1,641,-1,641,-1,407,229,481
straight,0,0,131,377,229,364,-1,641,-1,641,-1,408,229,254
straight,0,0,130,377,305,364,-1,641,-1,411,-1,406,230,481
straight,0,0,130,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,130,377,229,364,-1,641,-1,641,-1,408,229,254
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,410,229,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,413,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,253
straight,0,0,129,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,407,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,230,481
straight,0,0,128,377,229,390,-1,641,-1,641,-1,407,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,253
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,412,-1,407,232,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,253
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,229,481
straight,0,0,128,355,229,364,-1,641,-1,641,-1,408,229,481
